Row..,CocState,CoC,Coc_ID,HudNum,Organization.ID,Organization.Name,useHmisDb,Project.ID,Project.Name,Project.Type,Geo.Code,Target.Population,housingType,Victim.Service.Provider,address1,city,state,zip,address,geometry
"617389",FL,"Gainesville/Alachua, Putnam Counties CoC","1133",FL-508,"30687",Alachua County Coalition for the Homeless and Hungry,,"127531",ACCHH | Permanent Supportive Housing,PSH,"129001",,Tenant-based – scattered site,"0",3055 NE 28th Dr,Gainesville,FL,"32609","3055 NE 28th Dr,Gainesville,FL,32609",
"617396",FL,"Gainesville/Alachua, Putnam Counties CoC","1133",FL-508,"182",Alachua County Housing Authority,,"84809",HUD VASH | Permanent Supportive Housing,PSH,"129001",,Tenant-based – scattered site,"0",703 NE 1st St,Gainesville,FL,"32601","703 NE 1st St,Gainesville,FL,32601",
"702755",FL,"Gainesville/Alachua, Putnam Counties CoC","1133",FL-508,"41972",Alachua County Social Services,,"182505",ACDSS | Rapid Rehousing Program (GR),RRH,"129001",,Tenant-based – scattered site,"0",218 SE 24th Ave,Gainesville,FL,"32641","218 SE 24th Ave,Gainesville,FL,32641",
"617387",FL,"Gainesville/Alachua, Putnam Counties CoC","1133",FL-508,"13104",Catholic Charities | Putnam,,"158269",Catholic Charities Putnam ESGCV RRH,RRH,"129107",,Tenant-based – scattered site,"0",1000 Husson Ave,Palatka,FL,"32177","1000 Husson Ave,Palatka,FL,32177",
"617400",FL,"Gainesville/Alachua, Putnam Counties CoC","1133",FL-508,"8167","CDS, Family & Behavioral Health Services, Inc",,"6340",Interface Central,ES,"129001",,Site-based – single site,"0",1400 NW 29th Rd,Gainesville,FL,"32605","1400 NW 29th Rd,Gainesville,FL,32605",
"617405",FL,"Gainesville/Alachua, Putnam Counties CoC","1133",FL-508,"10813",Gainesville Housing Authority,,"84808",HUD VASH | Permanent Supportive Housing,PSH,"121038",,Tenant-based – scattered site,"0",1900 SE 4th St,Gainesville,FL,"32641","1900 SE 4th St,Gainesville,FL,32641",
"617407",FL,"Gainesville/Alachua, Putnam Counties CoC","1133",FL-508,"4667","Meridian Behavioral Healthcare, Inc.",,"84796",SSVF | Rapid Rehousing,RRH,"129001",,Tenant-based – scattered site,"0",1405 NW 13th St,Gainesville,FL,"32601","1405 NW 13th St,Gainesville,FL,32601",
"617421",FL,"Gainesville/Alachua, Putnam Counties CoC","1133",FL-508,"6488",St. Francis House,,"137908",Arbor House TH,TH,"129001",,Site-based – single site,"0",413 S Main St,Gainesville,FL,"32601","413 S Main St,Gainesville,FL,32601",
"617414",FL,"Gainesville/Alachua, Putnam Counties CoC","1133",FL-508,"10225",VETSPACE,,"84806",GPD Program,TH,"129001",,Site-based – clustered / multiple sites,"0",3901 NW 7th St,Gainesville,FL,"32609","3901 NW 7th St,Gainesville,FL,32609",
"617416",FL,"Gainesville/Alachua, Putnam Counties CoC","1133",FL-508,"7262",Volunteers of America | GPD,,"137464",GPD- Bridge,TH,"129001",,Site-based – single site,"0",2130 NW 31st Ave,Gainesville,FL,"32605","2130 NW 31st Ave,Gainesville,FL,32605",
